work_key,doi,openalex_id,title,year,work_type,corpus_class,corpus_source,inclusion_pathway,in_ground_truth_registry,in_seed_dataset_registry,discovery_channel,discovery_source,confidence_tier,campaign_labels_auto,campaign_labels_final,manual_campaign_review,source_link,pdf_url,cited_by_count,openalex_type,manual_thesis_flag
doi:10.1002/2016jd025453,10.1002/2016jd025453,https://openalex.org/W2556159346,OH* imager response to turbulence‐induced temperature fluctuations,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2016JD025453,,2,article,
doi:10.1002/asl.660,10.1002/asl.660,https://openalex.org/W2342387346,On the link between cold fronts and hail in Switzerland,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://rmets.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/asl.660,,49,article,
doi:10.1002/2015jd024494,10.1002/2015jd024494,https://openalex.org/W2435639672,"Simultaneous and common‐volume lidar observations of K/Na layers and temperature at Arecibo Observatory (18°N, 67°W)",2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2015JD024494,,8,article,
doi:10.1002/we.1978,10.1002/we.1978,https://openalex.org/W2313147051,Testing and validation of multi‐lidar scanning strategies for wind energy applications,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://doi.org/10.1002/we.1978,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/we.1978,50,article,
doi:10.5194/acp-2016-842,10.5194/acp-2016-842,https://openalex.org/W2530719751,The life cycle of nocturnal low-level clouds over southern WestAfrica analysed using high-resolution simulations,2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://doi.org/10.5194/acp-2016-842,https://acp.copernicus.org/preprints/acp-2016-842/acp-2016-842.pdf,1,article,
doi:10.1175/jtech-d-16-0119.1,10.1175/jtech-d-16-0119.1,https://openalex.org/W2513325871,Validation of a Water Vapor Micropulse Differential Absorption Lidar (DIAL),2016,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:PECAN+Doppler lidar,high,PECAN,PECAN,no,https://journals.ametsoc.org/downloadpdf/journals/atot/33/11/jtech-d-16-0119_1.pdf,,90,article,
doi:10.1175/waf-d-16-0104.1,10.1175/waf-d-16-0104.1,https://openalex.org/W2548742076,nan,2016,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,medium,Multi/None,Multi/None,no,https://doi.org/10.1175/waf-d-16-0104.1,,42,article,
doi:10.2172/1253912,10.2172/1253912,https://openalex.org/W4237130335,Aerosol and Cloud Experiments in Eastern North Atlantic (ACE-ENA) Science Plan,2016,Report,report,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:EPIC+Doppler lidar,high,Multi/None,Multi/None,no,https://doi.org/10.2172/1253912,https://www.osti.gov/servlets/purl/1253912,16,report,
doi:etd-180810-5648,etd-180810-5648,repo:iowa_state_university:20.500.12876/30204,Pristine nocturnal convective initiation: a climatology and preliminary examination of predictability,2016,Thesis,thesis,theses_master,Manually accepted thesis,no,no,channel_h,channel_h:campaign_candidate:iowa_state_university+PECAN,medium,PECAN,PECAN,no,https://lib.dr.iastate.edu/handle/20.500.12876/30204,,,dissertation,y
doi:51646,51646,repo:naval_postgraduate_school:10945/51646,Surface layer processes and nocturnal low-level jet development--an observational study during PECAN,2016,Thesis,thesis,theses_master,Manually accepted thesis,no,no,channel_h,channel_h:campaign_candidate:naval_postgraduate_school+PECAN,low,PECAN,PECAN,no,https://calhoun.nps.edu/handle/10945/51646,,,dissertation,y
doi:10.1175/jas-d-16-0333.1,10.1175/jas-d-16-0333.1,https://openalex.org/W2742510398,A 1D Theoretical Analysis of Northerly Low-Level Jets over the Great Plains,2017,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,Multi/None,Multi/None,no,https://doi.org/10.1175/jas-d-16-0333.1,,14,article,
doi:10.5194/amt-2017-393,10.5194/amt-2017-393,https://openalex.org/W4253734505,Algorithm Theoretical Baseline for formaldehyde retrievals from S5P TROPOMI and from the QA4ECV project,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+remote profiler,high,LAPSE-RATE,Multi/None,yes,https://doi.org/10.5194/amt-2017-393,https://amt.copernicus.org/preprints/amt-2017-393/amt-2017-393.pdf,20,preprint,
doi:10.1175/mwr-d-17-0047.1,10.1175/mwr-d-17-0047.1,https://openalex.org/W2768079009,An Adjoint-Based Forecast Impact from Assimilating MISR Winds into the GEOS-5 Data Assimilation and Forecasting System,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://journals.ametsoc.org/downloadpdf/journals/mwre/145/12/mwr-d-17-0047.1.pdf,,9,article,
doi:10.5194/wes-2-77-2017,10.5194/wes-2-77-2017,https://openalex.org/W2587515505,An error reduction algorithm to improve lidar turbulence estimates for wind energy,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.wind-energ-sci.net/2/77/2017/wes-2-77-2017.pdf,,28,article,
doi:10.1175/bams-d-16-0181.1,10.1175/bams-d-16-0181.1,https://openalex.org/W2765110815,Avian Sensor Packages for Meteorological Measurements,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://journals.ametsoc.org/downloadpdf/journals/bams/99/3/bams-d-16-0181.1.pdf,,6,article,
doi:10.3390/rs9030242,10.3390/rs9030242,https://openalex.org/W2594539745,Characterization of Turbulence in Wind Turbine Wakes under Different Stability Conditions from Static Doppler LiDAR Measurements,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.mdpi.com/2072-4292/9/3/242/pdf?version=1488701240,,9,article,
doi:10.5194/acp-17-1847-2017,10.5194/acp-17-1847-2017,https://openalex.org/W2586240285,Effects of atmospheric dynamics and aerosols on the fraction of supercooled water clouds,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.atmos-chem-phys.net/17/1847/2017/acp-17-1847-2017.pdf,,65,article,
doi:10.1007/s10712-017-9448-9,10.1007/s10712-017-9448-9,https://openalex.org/W2768920857,Emerging Technologies and Synergies for Airborne and Space-Based Measurements of Water Vapor Profiles,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:PECAN+Doppler lidar,high,PECAN,PECAN,no,https://link.springer.com/content/pdf/10.1007/s10712-017-9448-9.pdf,,54,article,
doi:10.1175/waf-d-17-0064.1,10.1175/waf-d-17-0064.1,https://openalex.org/W2757789080,How Much Does “Backing Aloft” Actually Impact a Supercell?,2017,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,medium,Multi/None,Multi/None,yes,https://doi.org/10.1175/waf-d-17-0064.1,https://journals.ametsoc.org/downloadpdf/view/journals/wefo/32/5/waf-d-17-0064_1.pdf,18,article,
doi:10.1175/bams-d-17-0001.1,10.1175/bams-d-17-0001.1,https://openalex.org/W2773050709,Land–Atmosphere Interactions: The LoCo Perspective,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAFE+Doppler lidar,high,LAFE,LAFE,no,https://journals.ametsoc.org/downloadpdf/journals/bams/99/6/bams-d-17-0001.1.pdf,,517,article,
doi:10.1175/jas-d-16-0317.1,10.1175/jas-d-16-0317.1,https://openalex.org/W2738808504,Large-Eddy Simulation of Shallow Cumulus over Land: A Composite Case Based on ARM Long-Term Observations at Its Southern Great Plains Site,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://doi.org/10.1175/jas-d-16-0317.1,https://journals.ametsoc.org/downloadpdf/view/journals/atsc/74/10/jas-d-16-0317.1.pdf,44,article,
doi:10.5194/angeo-35-181-2017,10.5194/angeo-35-181-2017,https://openalex.org/W2585012156,Large-scale gravity wave perturbations in the mesopause region above Northern Hemisphere midlatitudes during autumnal equinox: a joint study by the USU Na lidar and Whole Atmosphere Community Climate Model,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://angeo.copernicus.org/articles/35/181/2017/angeo-35-181-2017.pdf,,24,article,
doi:10.5194/acp-17-2721-2017,10.5194/acp-17-2721-2017,https://openalex.org/W2591199939,"Modeling the diurnal variability of agricultural ammonia in Bakersfield, California, during the CalNex campaign",2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:EPIC+Doppler lidar,high,Multi/None,Multi/None,yes,https://www.atmos-chem-phys.net/17/2721/2017/acp-17-2721-2017.pdf,,31,article,
doi:10.1175/mwr-d-17-0176.1,10.1175/mwr-d-17-0176.1,https://openalex.org/W2771968611,Nocturnal Elevated Convection Initiation of the PECAN 4 July Hailstorm,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:PECAN+Doppler lidar,medium,PECAN,PECAN,no,https://doi.org/10.1175/mwr-d-17-0176.1,https://journals.ametsoc.org/downloadpdf/view/journals/mwre/146/1/mwr-d-17-0176.1.pdf,32,article,
doi:10.5194/acp-17-899-2017,10.5194/acp-17-899-2017,https://openalex.org/W2577184775,Nocturnal low-level clouds over southern West Africa analysed using high-resolution simulations,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.atmos-chem-phys.net/17/899/2017/acp-17-899-2017.pdf,,41,article,
doi:10.5194/acp-17-3619-2017,10.5194/acp-17-3619-2017,https://openalex.org/W2470224965,Optical and geometrical properties of cirrus clouds in Amazonia derived from 1 year of ground-based lidar measurements,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.atmos-chem-phys.net/17/3619/2017/acp-17-3619-2017.pdf,,62,article,
doi:10.1175/waf-d-17-0104.1,10.1175/waf-d-17-0104.1,https://openalex.org/W2775322066,Probabilistic Verification of Storm Prediction Center Convective Outlooks,2017,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,medium,Multi/None,Multi/None,yes,https://doi.org/10.1175/waf-d-17-0104.1,https://journals.ametsoc.org/downloadpdf/view/journals/wefo/33/1/waf-d-17-0104_1.pdf,32,article,
doi:10.1175/bams-d-15-00257.1,10.1175/bams-d-15-00257.1,https://openalex.org/W2519176532,The 2015 Plains Elevated Convection at Night Field Project,2017,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,low,PECAN,PECAN,no,https://doi.org/10.1175/bams-d-15-00257.1,,284,article,
doi:10.1038/s41598-017-04503-0,10.1038/s41598-017-04503-0,https://openalex.org/W2734669467,The movement of small insects in the convective boundary layer: linking patterns to processes,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.nature.com/articles/s41598-017-04503-0.pdf,,68,article,
doi:10.1175/mwr-d-16-0410.1,10.1175/mwr-d-16-0410.1,https://openalex.org/W2601360836,Toward 1-km Ensemble Forecasts over Large Domains,2017,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,Multi/None,Multi/None,yes,https://journals.ametsoc.org/downloadpdf/journals/mwre/145/8/mwr-d-16-0410.1.pdf,,56,article,
doi:10.1175/mwr-d-17-0152.1,10.1175/mwr-d-17-0152.1,https://openalex.org/W2758089967,Volatility of Tornadogenesis: An Ensemble of Simulated Nontornadic and Tornadic Supercells in VORTEX2 Environments,2017,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,Multi/None,Multi/None,yes,https://doi.org/10.1175/mwr-d-17-0152.1,https://journals.ametsoc.org/downloadpdf/view/journals/mwre/145/11/mwr-d-17-0152.1.pdf,78,article,
doi:10.3390/en10030317,10.3390/en10030317,https://openalex.org/W2593393676,Wind Farm Wake: The 2016 Horns Rev Photo Case,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,https://www.mdpi.com/1996-1073/10/3/317/pdf?version=1489391413,,55,article,
doi:10.5194/acp-17-13345-2017,10.5194/acp-17-13345-2017,https://openalex.org/W2599390119,Winds and temperatures of the Arctic middle atmosphere during January measured by Doppler lidar,2017,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:RIVoRS+Doppler lidar,high,Multi/None,Multi/None,yes,https://acp.copernicus.org/articles/17/13345/2017/acp-17-13345-2017.pdf,,32,article,
doi:10.1175/jtech-d-17-0065.1,10.1175/jtech-d-17-0065.1,https://openalex.org/W2744657606,nan,2017,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,Multi/None,Multi/None,no,https://doi.org/10.1175/jtech-d-17-0065.1,,25,article,
doi:10.5065/d6833qr4,10.5065/d6833qr4,https://openalex.org/W2764209426,"NOAA/ATDD Belle Mina, Alabama Doppler Lidar Turbulent Kinetic Energy Profile Data. Version 1.0",2017,Dataset,dataset,data_deposits,Validated data deposit,no,no,channel_b,channel_b:B2:VORTEX-SE+Doppler lidar,high,VORTEX-SE,VORTEX-SE,no,https://data.eol.ucar.edu/file/download/53113D35B84CA/README_V-SE2017_CLAMPS_DL_TKE.txt,,0,dataset,
doi:10.5065/d69w0d7s,10.5065/d69w0d7s,https://openalex.org/W2764329176,OU/NSSL CLAMPS AERI Temperature and Water Vapor Profile Retrieval Data. Version 1.0,2017,Dataset,dataset,data_deposits,Seed dataset DOI registry (mandatory),no,yes,channel_c:dataset_registry,channel_c:dataset_registry,high,VORTEX-SE,VORTEX-SE,no,https://data.eol.ucar.edu/file/download/53114435C1710/README_V-SE2017_CLAMPS_AERI.txt,,1,dataset,
doi:10.5065/d6639ngc,10.5065/d6639ngc,https://openalex.org/W2762466883,OU/NSSL CLAMPS MWR Brightness Temperature and Retrieval Data. Version 1.0,2017,Dataset,dataset,data_deposits,Seed dataset DOI registry (mandatory),no,yes,channel_c:dataset_registry,channel_c:dataset_registry,high,VORTEX-SE,VORTEX-SE,no,https://data.eol.ucar.edu/file/download/53113F35B888D/README_V-SE2017_CLAMPS_MWR.txt,,0,dataset,
doi:10.2172/1343564,10.2172/1343564,https://openalex.org/W4295192447,"Cloud, Aerosol, and Complex Terrain Interactions (CACTI) Preliminary Science Plan",2017,Report,report,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,high,LAPSE-RATE,Multi/None,yes,http://dx.doi.org/10.2172/1343564,https://www.osti.gov/servlets/purl/1343564,1,report,
doi:51908,51908,repo:shareok:11244/51908,A Tale of Two Mesovortices: Analysis of a Simulated Severe MCS Observed By PECAN on 5-6 July 2015,2017,Thesis,thesis,theses_master,Manually accepted thesis,no,no,channel_h,channel_h:campaign_candidate:shareok+PECAN,low,PECAN,PECAN,no,https://shareok.org/handle/11244/51908,,,dissertation,y
doi:32511,32511,repo:university_of_manitoba:1993/32511,Cases of elevated deep moist convection initiation above frontal surfaces in 2015,2017,Thesis,thesis,theses_master,Manually accepted thesis,no,no,channel_h,channel_h:campaign_candidate:university_of_manitoba+PECAN,medium,Multi/None,Multi/None,no,https://mspace.lib.umanitoba.ca/handle/1993/32511,,,dissertation,y
doi:50439,50439,repo:shareok:11244/50439,Convection Initiation By Heterogeneous Great Plains Low-Level Jets,2017,Thesis,thesis,theses_master,Manually accepted thesis,no,no,channel_h,channel_h:campaign_candidate:shareok+PECAN,medium,PECAN,PECAN,no,https://shareok.org/handle/11244/50439,,,dissertation,y
doi:51845,51845,repo:shareok:11244/51845,Theory and observations of bores in the nocturnal environment of the Great Plains,2017,Thesis,thesis,theses_master,Manually accepted thesis,no,no,channel_h,channel_h:campaign_candidate:shareok+PECAN,medium,PECAN,PECAN,no,https://shareok.org/handle/11244/51845,,,dissertation,y
doi:10.1175/mwr-d-18-0300.1,10.1175/mwr-d-18-0300.1,https://openalex.org/W2896218380,A Background Investigation of Tornado Activity across the Southern Cumberland Plateau Terrain System of Northeastern Alabama,2018,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_b,channel_b:B2:VORTEX-SE+Doppler lidar,high,VORTEX-SE,VORTEX-SE,no,https://journals.ametsoc.org/downloadpdf/journals/mwre/146/12/mwr-d-18-0300.1.pdf,,31,article,
doi:10.1175/bams-d-17-0165.1,10.1175/bams-d-17-0165.1,https://openalex.org/W2890950497,A New Generation of Ground-Based Mobile Platforms for Active and Passive Profiling of the Boundary Layer,2018,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,Multi/None,Multi/None,no,https://doi.org/10.1175/bams-d-17-0165.1,,117,article,
doi:10.1175/bams-d-17-0009.1,10.1175/bams-d-17-0009.1,https://openalex.org/W2786756369,A New Research Approach for Observing and Characterizing Land–Atmosphere Feedback,2018,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,LAFE,LAFE,no,https://journals.ametsoc.org/downloadpdf/journals/bams/99/8/bams-d-17-0009.1.pdf,,134,article,
doi:10.5194/amt-11-6013-2018,10.5194/amt-11-6013-2018,https://openalex.org/W2796307725,A multiwavelength numerical model in support of quantitative retrievals of aerosol properties from automated lidar ceilometers and test applications for AOT and PM <sub>10</sub> estimation,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:RIVoRS+Doppler lidar,high,Multi/None,Multi/None,yes,https://amt.copernicus.org/articles/11/6013/2018/amt-11-6013-2018.pdf,,47,article,
doi:10.5194/amt-11-2395-2018,10.5194/amt-11-2395-2018,https://openalex.org/W2770226331,Algorithm theoretical baseline for formaldehyde retrievals from S5P TROPOMI and from the QA4ECV project,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+remote profiler,high,LAPSE-RATE,Multi/None,yes,https://www.atmos-meas-tech.net/11/2395/2018/amt-11-2395-2018.pdf,,301,article,
doi:10.1088/1742-6596/1037/7/072017,10.1088/1742-6596/1037/7/072017,https://openalex.org/W2809218680,Challenges in using scanning lidars to estimate wind resources in complex terrain,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:Perdigão+Doppler lidar,high,Perdigão,Perdigão,no,https://doi.org/10.1088/1742-6596/1037/7/072017,,4,article,
doi:10.5194/acp-2018-847,10.5194/acp-2018-847,https://openalex.org/W2890056754,Characterization of flow recirculation zones in complex terrain using multi-lidar measurements,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:Perdigão+Doppler lidar,high,Perdigão,Perdigão,no,https://doi.org/10.5194/acp-2018-847,https://acp.copernicus.org/preprints/acp-2018-847/acp-2018-847.pdf,6,article,
doi:10.5194/acp-2018-906,10.5194/acp-2018-906,https://openalex.org/W4246459339,Characterizing Wind Gusts in Complex Terrain,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:Perdigão+Doppler lidar,medium,Perdigão,Perdigão,no,https://doi.org/10.5194/acp-2018-906,https://acp.copernicus.org/preprints/acp-2018-906/acp-2018-906.pdf,3,preprint,
doi:10.1175/waf-d-17-0120.1,10.1175/waf-d-17-0120.1,https://openalex.org/W2792582587,Cold-Season Tornadoes: Climatological and Meteorological Insights,2018,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,medium,Multi/None,VORTEX-SE,yes,https://doi.org/10.1175/waf-d-17-0120.1,https://journals.ametsoc.org/downloadpdf/view/journals/wefo/33/3/waf-d-17-0120_1.pdf,58,article,
doi:10.1175/wcas-d-17-0073.1,10.1175/wcas-d-17-0073.1,https://openalex.org/W2792225768,Cold-season Tornado Risk Communication: Case Studies from November 2016 to February 2017,2018,Article,article,hc_publications,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,medium,Multi/None,Multi/None,yes,https://doi.org/10.1175/wcas-d-17-0073.1,https://journals.ametsoc.org/downloadpdf/view/journals/wcas/10/3/wcas-d-17-0073_1.pdf,17,article,
doi:10.3390/s18124448,10.3390/s18124448,https://openalex.org/W2905273162,Coordinated Unmanned Aircraft System (UAS) and Ground-Based Weather Measurements to Predict Lagrangian Coherent Structures (LCSs),2018,Article,article,ground_truth_mandatory,Ground-truth registry (mandatory),yes,no,channel_g,channel_g:ground_truth,high,LAPSE-RATE,LAPSE-RATE,no,https://www.mdpi.com/1424-8220/18/12/4448/pdf?version=1545190510,,61,article,
doi:10.5194/wes-2018-42,10.5194/wes-2018-42,https://openalex.org/W2793760352,Do Wind Turbines Pose Roll Hazards to Light Aircraft?,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,medium,LAPSE-RATE,Multi/None,yes,https://doi.org/10.5194/wes-2018-42,https://wes.copernicus.org/preprints/wes-2018-42/wes-2018-42.pdf,4,article,
doi:10.5194/wes-3-833-2018,10.5194/wes-3-833-2018,https://openalex.org/W2808727778,Do wind turbines pose roll hazards to light aircraft?,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:LAPSE-RATE+Doppler lidar,medium,LAPSE-RATE,Multi/None,yes,https://wes.copernicus.org/articles/3/833/2018/wes-3-833-2018.pdf,,20,article,
doi:10.5194/wes-3-681-2018,10.5194/wes-3-681-2018,https://openalex.org/W2794665350,Does the wind turbine wake follow the topography? A multi-lidar study in complex terrain,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:Perdigão+Doppler lidar,high,Perdigão,Perdigão,no,https://www.wind-energ-sci.net/3/681/2018/wes-3-681-2018.pdf,,74,article,
doi:10.5194/wes-2018-21,10.5194/wes-2018-21,https://openalex.org/W4236827766,Does the wind turbine wake follow the topography? – A multi-lidar study in complex terrain,2018,Article,article,hc_publications,High-confidence publication,no,no,channel_b,channel_b:B2:Perdigão+Doppler lidar,high,Perdigão,Perdigão,no,https://doi.org/10.5194/wes-2018-21,https://wes.copernicus.org/preprints/wes-2018-21/wes-2018-21.pdf,12,preprint,
